Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
光隆 實業 股份 有限 公司,9,9,480,25,0.00,https://csrone.com/companies/547,14,0.3,0.00,0,71,"[36,36,29,54,67,54,82,82,82,67,82,100]",2022-10-31,"Knowledge panel, Local pack, Image pack, Reviews, Image",commercial
漂洗,9,9,110,17,0.00,https://csrone.com/topics/6204,3,0.06,0.00,0,4220000,"[79,79,64,79,50,100,79,79,79,79,64,64]",2022-11-12,"Reviews, Video, Video Carousel, FAQ",informational
國泰 化工 廠 股份 有限 公司,9,9,90,21,0.00,https://csrone.com/companies/478,2,0.04,0.00,0,684000,"[29,50,36,36,50,79,79,79,100,100,100,100]",2022-11-24,"Knowledge panel, Local pack, Site links, Reviews, Image",commercial
燁 輝 企業 股份 有限 公司,8,8,1300,29,0.00,https://csrone.com/companies/319,7,0.15,0.00,0,933000,"[14,21,31,38,53,84,84,84,84,84,100,84]",2022-11-25,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Image",navigational
零 碳 建築,8,8,140,22,0.41,https://csrone.com/topics/7568,4,0.08,1.00,0.17,21600000,"[43,67,52,52,24,81,100,67,52,67,67,100]",2022-11-27,"Knowledge panel, Image pack, Site links, Reviews, Image, Video Carousel",informational
台 榮 產業,8,8,110,27,0.00,https://csrone.com/companies/513,3,0.06,0.00,0.01,18700000,"[53,53,53,53,53,100,82,53,53,65,82,65]",2022-11-10,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, FAQ",navigational
慧 洋 海運 股份 有限 公司,8,8,140,25,0.00,https://csrone.com/companies/1002,0,0,0.00,0,78,"[81,27,100,35,27,54,35,54,81,54,54,81]",2022-11-27,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ","informational, navigational"
ppa 是 什麼,8,8,390,23,0.00,https://csrone.com/topics/5444,11,0.23,0.00,0,2280000,"[82,100,82,82,67,82,100,100,100,100,100,100]",2022-11-20,"Knowledge panel, Image pack, Reviews, Video, FAQ",informational
bs8001,8,8,90,17,0.00,https://csrone.com/topics/4410,2,0.04,0.00,0,42300,"[50,64,79,79,36,64,64,50,79,79,100,79]",2022-11-21,"Reviews, Image",informational
開 曼 美食 達人,8,8,210,19,0.00,https://csrone.com/reports/3993,6,0.12,0.00,0,891000,"[53,53,53,66,44,34,81,44,100,66,66,53]",2022-11-06,"Knowledge panel, Image pack, Site links, Reviews, Image",informational
中 鴻 鋼鐵 股份 有限 公司,8,8,480,28,0.00,https://csrone.com/companies/226,2,0.04,0.00,0,2920000,"[44,29,44,82,54,54,100,82,67,82,82,82]",2022-10-31,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ",navigational
新 北市 勞動 雲,8,8,720,24,0.00,https://csrone.com/news/2532,4,0.08,0.00,0,53,"[82,100,67,67,67,100,82,82,67,67,82,82]",2022-11-19,"Image pack, Site links, Reviews, Image",navigational
華 寶 通訊,7,7,90,24,0.00,https://csrone.com/companies/263,3,0.06,0.00,0,10700000,"[100,82,64,64,64,100,64,82,100,100,100,82]",2022-11-26,"Knowledge panel, Reviews, Image",informational
永 續 長,7,7,390,23,0.54,https://csrone.com/topics/5942,15,0.32,8.00,0.04,40900000,"[44,44,44,54,36,66,100,100,66,66,66,66]",2022-11-08,"Image pack, Video, FAQ",informational
環境 正義,7,7,210,18,0.00,https://csrone.com/topics/6460,8,0.17,0.00,0.02,47300000,"[66,81,66,81,66,28,66,81,100,100,53,44]",2022-11-01,"Image pack, Video",informational
cso club,7,7,70,18,0.00,https://csrone.com/events/531,2,0.04,0.00,0,4860000,"[71,0,14,0,0,0,100,57,43,14,0,29]",2022-11-14,"Image pack, Reviews, Video",informational
國 瑞 汽車 股份 有限 公司,7,7,170,22,0.00,https://csrone.com/companies/286,6,0.12,0.00,0.01,10600000,"[65,54,81,65,54,54,81,100,65,65,81,100]",2022-11-03,"Knowledge panel, Local pack, Site links, Reviews, Video, Image, FAQ",commercial
資 誠 永 續,7,7,110,23,0.00,https://csrone.com/topics/6147,0,0,0.00,0.01,86,"[43,67,43,24,100,52,52,52,52,43,43,52]",2022-11-24,"Image pack, Site links, Video",informational
創業 食 刻,7,7,90,16,0.00,https://csrone.com/events/780,3,0.06,0.00,0,98,"[44,0,56,0,100,44,11,0,11,11,11,0]",2022-11-10,"Image pack, Site links, Video, Image",informational
開 曼 美食 達人,7,7,210,19,0.00,https://csrone.com/reports/3370,8,0.17,0.00,0,891000,"[53,53,53,66,44,34,81,44,100,66,66,53]",2022-11-06,"Knowledge panel, Image pack, Site links, Reviews, Image",informational
長榮 航空 企業 社會 責任,7,7,90,15,0.00,https://csrone.com/reports/4096,0,0,0.00,0.03,82,"[14,29,14,14,100,43,100,14,14,57,43,14]",2022-11-12,"Video, Image",informational
影響 力 投資,7,7,390,23,2.08,https://csrone.com/news/7122,15,0.32,32.00,0.22,97,"[54,81,100,66,44,36,66,66,81,66,54,44]",2022-11-02,"Image pack, Site links, Reviews, Video",informational
大 恭 化學 工業 股份 有限 公司,7,7,170,22,0.00,https://csrone.com/companies/437,1,0.02,0.00,0,407000,"[27,27,35,27,42,81,81,81,100,81,100,100]",2022-11-14,"Knowledge panel, Image pack, Site links, Reviews, Video, Image",navigational
情境 分析,7,7,210,28,0.00,https://csrone.com/insights/tcfd-technical-supplement-scenario-analysis/207,8,0.17,0.00,0,13300000,"[81,100,100,81,34,66,81,81,81,53,44,44]",2022-11-26,"Knowledge panel, Image pack, Site links, Reviews, Video, Featured snippet, Video Carousel",informational
頤 德 國際,7,7,210,29,0.00,https://csrone.com/companies/2,1,0.02,0.00,0,734000,"[81,100,65,81,65,100,100,81,81,65,100,81]",2022-11-27,"Knowledge panel, Image pack, Site links, Reviews, Video",navigational
海 平面 上升 影響,7,7,90,23,1.26,https://csrone.com/news/5736,3,0.06,4.00,0.02,3550000,"[53,65,65,41,29,100,65,65,65,29,24,82]",2022-11-07,"Knowledge panel, Video, Featured snippet",informational
aa1000,7,7,260,15,0.00,https://csrone.com/news/4922,10,0.21,0.00,0,190000,"[44,44,44,54,54,54,100,67,67,82,100,82]",2022-11-05,"Image pack, Site links, Reviews, Video",informational
健康 職場,6,6,210,19,0.00,https://csrone.com/awards/14,10,0.21,0.00,0.04,149000000,"[66,81,100,53,53,66,66,53,81,81,66,66]",2022-11-23,"Image pack, Site links, Image, Video Carousel",informational
荷蘭 商 聯邦 快遞,6,6,140,16,0.00,https://csrone.com/companies/120,7,0.15,0.00,0.03,2060000,"[82,82,82,82,82,65,100,82,82,65,100,65]",2022-11-04,"Image pack, Site links, Reviews, Image",informational
d&i,6,6,260,28,0.97,https://csrone.com/topics/5737,13,0.28,12.00,0.01,9020000,"[66,81,81,81,81,81,100,81,100,81,66,81]",2022-11-05,"Image pack, Reviews, Video, AdWords top",commercial
空氣 污染 心得,6,6,110,26,0.00,https://csrone.com/topics/5631,5,0.1,0.00,0.04,460000,"[67,100,81,81,19,43,81,81,100,10,14,24]",2022-11-18,"Image pack, Site links",informational
esg 廣告,6,6,70,23,0.66,https://csrone.com/topics/232,3,0.06,2.00,0.28,98,"[0,0,0,0,14,14,14,14,14,100,14,14]",2022-11-13,"Image pack, Video, Video Carousel","informational, transactional"
健康 職場 認證,6,6,390,19,0.00,https://csrone.com/awards/14,19,0.41,0.00,0.01,22100000,"[81,100,100,67,54,81,67,81,100,100,100,81]",2022-11-21,"Site links, Video Carousel",informational
djsi 是 什麼,6,6,110,27,0.35,https://csrone.com/topics/7160,5,0.1,1.00,0.08,96800,"[41,82,41,29,53,82,82,100,53,65,53,53]",2022-11-14,"Knowledge panel, Reviews",informational
cso club,6,6,70,18,0.00,https://csrone.com/events/464,3,0.06,0.00,0,4860000,"[71,0,14,0,0,0,100,57,43,14,0,29]",2022-11-14,"Image pack, Reviews, Video",informational
ndc 是 什麼,6,9,140,20,0.00,https://csrone.com/topics/6775,7,0.15,0.00,0,1120000,"[67,81,67,67,67,100,67,67,67,52,67,67]",2022-11-28,Knowledge panel,informational
台積電 社會 責任,6,6,90,17,0.77,https://csrone.com/reports/2559,4,0.08,3.00,0.03,95,"[20,20,60,60,20,20,20,20,20,20,100,40]",2022-11-07,"Video, FAQ",informational
燁 輝 企業,6,6,260,28,0.00,https://csrone.com/companies/319,2,0.04,0.00,0,1400000,"[100,81,66,53,53,81,81,66,81,66,100,66]",2022-11-21,"Knowledge panel, Local pack, Site links, Reviews, Image, Video Carousel",navigational
gri 205,6,6,70,22,0.00,https://csrone.com/indicators?category=gri-standards&page=7,0,0,0.00,0,19900000,"[0,14,14,14,14,100,43,14,14,29,14,14]",2022-11-14,,informational
長榮 航空 企業 社會 責任,6,6,90,15,0.00,https://csrone.com/reports/4512,0,0,0.00,0.03,82,"[14,29,14,14,100,43,100,14,14,57,43,14]",2022-11-12,"Video, Image",informational
回饋 社會,5,5,320,21,2.20,https://csrone.com/news/3562,16,0.34,35.00,0.02,25400000,"[100,81,81,67,67,81,67,81,67,54,67,67]",2022-11-22,Image pack,informational
gcsa,5,5,170,29,0.00,https://csrone.com/awards/26,8,0.17,0.00,0.01,236000,"[23,44,100,28,23,18,44,23,44,36,44,54]",2022-11-05,"Image pack, Reviews, Video, FAQ",informational
永 續 發展 協會,5,5,110,22,0.57,https://csrone.com/consultants/27,1,0.02,0.00,0.06,10100000,"[79,79,100,79,79,100,100,79,79,100,79,100]",2022-11-12,"Local pack, Image pack, Site links, Reviews",navigational
古 秀華,5,5,140,16,0.00,https://csrone.com/topics/5716,7,0.15,0.00,0,143000,"[28,28,28,44,28,81,100,66,34,44,53,34]",2022-11-18,"Reviews, Video Carousel",informational
畜牧 業 溫室 氣體,5,5,140,21,1.23,https://csrone.com/topics/6969,7,0.15,8.00,0.02,266000,"[54,100,65,42,27,42,42,54,42,42,35,54]",2022-11-22,"Reviews, Video, Image",informational
intersectionality 中文,5,5,110,26,0.00,https://csrone.com/topics/6443,5,0.1,0.00,0.01,431000,"[82,100,65,65,53,65,53,53,53,41,29,100]",2022-11-27,"Image pack, Reviews, Video, Featured snippet",informational
碳 權 買賣,5,5,90,22,0.52,https://csrone.com/news/7432,4,0.08,2.00,0.17,4520000,"[50,50,50,79,50,50,79,79,64,100,79,64]",2022-10-31,"Image pack, Site links, Video, Image",informational
價值 鏈 管理,5,5,140,29,0.00,https://csrone.com/topics/604,7,0.15,0.00,0.04,37600000,"[23,29,54,100,23,15,15,23,15,10,10,15]",2022-11-03,"Knowledge panel, Image pack, Site links, FAQ",informational
證 交 所 重大 訊息,5,5,170,28,0.00,https://csrone.com/news/7548,1,0.02,0.00,0.01,73,"[100,100,81,67,67,100,81,67,52,100,67,52]",2022-11-25,"Image pack, Video Carousel",informational
古 秀華,4,4,140,16,0.00,https://csrone.com/news/6705,9,0.19,0.00,0,143000,"[28,28,28,44,28,81,100,66,34,44,53,34]",2022-11-18,"Reviews, Video Carousel",informational
中興 保全 多 扶,4,4,90,16,0.00,https://csrone.com/news/3022,1,0.02,0.00,0,62,"[0,14,14,0,0,14,14,71,29,100,29,0]",2022-11-10,"Image pack, Reviews, Video",informational
well 認證,4,4,170,16,0.06,https://csrone.com/news/6397,11,0.23,0.00,0.07,12300000,"[54,65,81,65,54,42,81,54,100,81,65,100]",2022-11-02,"Image pack, Video",informational
中華 民國 企業 永 續 發展 協會,4,4,140,29,1.00,https://csrone.com/consultants/27,1,0.02,1.00,0.08,1990000,"[52,52,52,67,67,52,100,81,67,67,67,100]",2022-11-04,"Knowledge panel, Site links, Reviews, AdWords bottom",navigational
circular economy summit 2020,4,4,70,24,0.00,https://csrone.com/events/674,4,0.08,0.00,0,5060000,"[0,0,0,0,0,100,0,0,0,0,0,100]",2022-11-13,"Image pack, Site links, Video",informational
tcfd 中文,4,4,320,28,0.04,https://csrone.com/topics/6388,22,0.47,0.00,0.06,246000,"[54,100,81,67,54,81,54,67,54,35,44,44]",2022-11-28,"Image pack, Featured snippet, FAQ",informational
csr 營 隊,4,4,90,17,0.00,https://csrone.com/events/303,6,0.12,0.00,0,2590000,"[0,0,100,0,100,100,100,0,0,0,100,0]",2022-11-08,"Image pack, Reviews, Video",informational
sfdr,4,4,390,28,0.92,https://csrone.com/news/6884,27,0.58,25.00,0.02,3490000,"[100,100,100,81,81,67,100,81,100,81,81,81]",2022-10-31,"Image pack, Video",informational
食品 零售 業,4,4,90,27,0.00,https://csrone.com/topics/6909,6,0.12,0.00,0.03,21400000,"[100,60,20,20,20,80,20,20,20,20,20,20]",2022-11-12,FAQ,informational
企業 環保 獎,4,4,140,27,0.78,https://csrone.com/awards/15,1,0.02,1.00,0.02,19600000,"[42,54,100,42,27,27,81,65,81,54,27,54]",2022-11-03,"Image pack, Site links, Video",navigational
朱竹元,4,4,170,18,0.00,https://csrone.com/topics/6140,11,0.23,0.00,0,84,"[81,100,81,81,67,67,100,100,81,67,100,100]",2022-11-01,"Reviews, Video, Image",informational
永 續 時尚,4,4,390,27,0.47,https://csrone.com/topics/7431,27,0.58,12.00,0.16,20200000,"[66,66,81,66,44,66,66,81,100,44,36,81]",2022-11-25,"Image pack, Site links, Video, Video Carousel",informational
永 續 獎,3,3,170,24,0.40,https://csrone.com/awards/16,3,0.06,1.00,0.01,87,"[53,66,22,28,28,44,44,53,66,66,100,66]",2022-11-27,"Image pack, Site links",navigational
國家 永 續 獎,3,3,90,26,0.00,https://csrone.com/awards/13,1,0.02,0.00,0,12600000,"[2,7,3,2,5,2,100,24,2,8,5,2]",2022-11-11,"Image pack, Site links, Video",navigational
issb,3,3,260,27,0.00,https://csrone.com/topics/7159,23,0.49,0.00,0,2410000,"[5,54,82,54,54,23,82,67,82,100,100,100]",2022-11-05,"Image pack, Site links, Video",informational
台灣 風力 發電 廠商,3,3,90,28,0.50,https://csrone.com/news/4802,8,0.17,4.00,0.16,483000,"[79,100,79,100,79,64,64,64,50,36,21,14]",2022-11-04,"Knowledge panel, Image",informational
djsi 成分 股,3,3,70,26,0.00,https://csrone.com/topics/7160,6,0.12,0.00,0.04,73,"[22,11,11,11,11,56,33,11,33,11,44,100]",2022-11-14,"Image pack, Reviews",informational
國家 磐石 獎,3,3,320,27,0.00,https://csrone.com/awards/12,5,0.1,0.00,0,95,"[32,100,26,21,21,32,32,39,26,32,26,21]",2022-11-24,Site links,navigational
綠色 工廠 標 章,3,3,170,24,0.00,https://csrone.com/awards/41,3,0.06,0.00,0,14500000,"[35,65,100,65,54,42,65,65,81,65,54,65]",2022-11-01,"Image pack, Site links, Video",navigational
企業 永 續 發展 協會,3,3,140,25,0.84,https://csrone.com/consultants/27,2,0.04,2.00,0.08,9540000,"[65,100,82,82,82,100,82,65,82,65,100,82]",2022-11-25,"Knowledge panel, Image pack, Site links, Reviews",navigational
cbam,3,3,1900,28,0.00,https://csrone.com/topics/7429,171,3.69,0.00,0,1450000,"[42,67,67,67,67,42,79,79,79,100,100,100]",2022-11-03,"Image pack, Video",informational
天下 企業 公民 獎,3,3,170,24,0.78,https://csrone.com/awards/11,3,0.06,2.00,0.01,4050000,"[100,44,35,29,19,23,23,29,23,19,23,44]",2022-11-23,"Image pack, Site links",informational
台灣 永 續 獎,3,3,260,28,0.00,https://csrone.com/awards/16,4,0.08,0.00,0.01,20000000,"[100,100,35,29,29,44,44,54,67,67,67,19]",2022-11-16,"Top stories, Image pack, Site links, Video",navigational
國家 企業 環保 獎,3,3,390,23,0.00,https://csrone.com/awards/15,7,0.15,0.00,0,78,"[32,100,21,21,17,72,48,48,26,26,21,39]",2022-11-26,"Image pack, Site links",navigational
gri 是 什麼,3,3,170,22,0.10,https://csrone.com/companies/311,15,0.32,1.00,0.08,6000000,"[35,65,42,42,35,65,65,54,54,100,81,100]",2022-11-23,"Knowledge panel, Image pack, FAQ",informational
菁 業 獎,3,3,320,23,0.00,https://csrone.com/awards/4,28,0.6,0.00,0,96,"[17,32,17,9,21,17,39,39,48,39,26,100]",2022-11-21,"Image pack, Video Carousel",informational
國家 永 續 發展 獎,3,3,390,25,0.00,https://csrone.com/awards/13,7,0.15,0.00,0.01,10300000,"[19,15,19,19,15,44,100,100,82,54,67,67]",2022-11-24,"Image pack, Site links, AdWords bottom",navigational
企業 責任 報告 書,2,2,90,28,0.53,https://csrone.com/reports,11,0.23,6.00,0.18,118000000,"[82,82,100,53,41,65,65,41,29,41,41,41]",2022-11-24,,informational
國家 品牌 玉山 獎,2,2,480,22,0.00,https://csrone.com/awards/23,12,0.25,0.00,0,2560000,"[100,59,32,32,17,39,32,32,72,48,39,32]",2022-11-23,Site links,navigational
tcsa 台灣 企業 永 續 獎,2,2,320,25,0.00,https://csrone.com/awards/16,8,0.17,0.00,0.01,58,"[54,100,36,36,29,36,36,54,54,81,81,36]",2022-11-26,"Image pack, Site links, Reviews",navigational
國家 環境 教育 獎,2,2,320,23,0.00,https://csrone.com/awards/8,8,0.17,0.00,0,21000000,"[36,24,19,30,24,67,24,30,100,30,30,19]",2022-11-24,Site links,informational
esg 評級,2,2,110,25,1.06,https://csrone.com/topics/7406,14,0.3,15.00,0.24,3270000,"[27,35,27,54,42,35,54,35,65,54,100,42]",2022-11-02,"Reviews, Featured snippet, AdWords bottom",informational
cdp 問卷,2,2,140,15,0.73,https://csrone.com/topics/7205,18,0.38,13.00,0.05,91700,"[33,43,52,81,33,52,52,100,81,100,67,67]",2022-11-09,"Reviews, Video",informational
玉山 獎,2,2,480,25,0.00,https://csrone.com/awards/23,12,0.25,0.00,0,4220000,"[100,39,26,32,17,48,39,48,72,59,48,59]",2022-11-23,Site links,navigational
pcaf,2,2,320,27,0.00,https://csrone.com/topics/6694,8,0.17,0.00,0,718000,"[29,35,54,54,54,81,67,81,100,100,100,100]",2022-11-20,"Image pack, Site links, Reviews, People also ask",navigational
sri esg,2,2,90,19,0.00,https://csrone.com/topics/3632,11,0.23,0.00,0.07,21200000,"[14,29,14,29,14,14,14,100,14,100,14,71]",2022-11-06,"Image pack, Site links, Reviews, Video",informational
